Player Name,Current Club,Appearances,Goals,Goals Per Match,Headed Goals,Right Foot Goals,Left Foot Goals,Penalty Goals,Free Kick Goals,Shots,On Target Shots,Shot Accuracy,Hit Woodwork,Big Chances Missed,Wins,Losses,Goal Assists,Total Passes,Passes Per Match,Big Chances Created,Total Cross,Cross Accuracy,Yellow Cards,Red Cards,Fouls,Total Offside,Total Tackles,Tackles Won,Blocked Shots,Interceptions,Total Clearances,Effective Head Clearance,Ball Recovery,Duel Won,Duel Lost,Won Contest,Aerial Won,Aerial Lost,Error Leading To Goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Steven Caulker,Cardiff City,38.0,5.0,0.13,4.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,7.0,22.0,0.0,1326.0,34.89,1.0,5.0,-1.0,1.0,0.0,7.0,3.0,44.0,70.0,6.0,47.0,327.0,189.0,116.0,196.0,120.0,2.0,144.0,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ahmed El Mohamady,Hull City,38.0,2.0,0.05,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,10.0,21.0,2.0,1751.0,46.08,3.0,243.0,-1.0,3.0,0.0,34.0,3.0,67.0,81.0,3.0,70.0,69.0,36.0,235.0,212.0,178.0,42.0,74.0,73.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Brad Guzan,Aston Villa,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,20.0,1.0,972.0,25.58,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,110.0,1.0,15.0,97.0,15.0,28.0,112.0,348.0
Mile Jedinak,Crystal Palace,38.0,1.0,0.03,0.0,1.0,0.0,1.0,0.0,33.0,10.0,30.3,0.0,3.0,13.0,19.0,1.0,1615.0,42.5,5.0,12.0,-1.0,7.0,0.0,60.0,1.0,133.0,77.0,6.0,139.0,133.0,102.0,269.0,348.0,190.0,13.0,167.0,70.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Adam Lallana,Southampton,38.0,9.0,0.24,0.0,4.0,4.0,0.0,0.0,70.0,29.0,41.43,3.0,8.0,15.0,12.0,6.0,1478.0,38.89,4.0,157.0,-1.0,3.0,0.0,33.0,16.0,57.0,82.0,20.0,37.0,21.0,10.0,198.0,217.0,262.0,69.0,18.0,41.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Simon Mignolet,Liverpool,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,6.0,0.0,736.0,19.37,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,107.0,1.0,29.0,32.0,24.0,11.0,153.0,325.0
Mark Noble,West Ham United,38.0,3.0,0.08,0.0,3.0,0.0,2.0,0.0,21.0,5.0,23.81,0.0,0.0,11.0,20.0,4.0,1976.0,52.0,7.0,78.0,-1.0,6.0,1.0,41.0,1.0,110.0,73.0,5.0,71.0,40.0,11.0,310.0,196.0,150.0,36.0,11.0,11.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Leon Osman,Everton,38.0,3.0,0.08,0.0,1.0,2.0,0.0,0.0,50.0,14.0,28.0,1.0,1.0,21.0,8.0,4.0,1397.0,36.76,4.0,23.0,-1.0,4.0,0.0,27.0,1.0,59.0,63.0,15.0,41.0,36.0,21.0,115.0,136.0,155.0,28.0,23.0,41.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
John Ruddy,Norwich City,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,21.0,0.0,824.0,21.68,-1.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,125.0,0.0,11.0,62.0,24.0,12.0,140.0,354.0
Steve Sidwell,Fulham,38.0,7.0,0.18,2.0,4.0,1.0,0.0,0.0,48.0,15.0,31.25,0.0,4.0,9.0,24.0,2.0,1467.0,38.61,1.0,13.0,-1.0,5.0,0.0,62.0,10.0,121.0,77.0,12.0,79.0,88.0,55.0,189.0,248.0,231.0,25.0,63.0,61.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
