Player Name,Current Club,Appearances,Goals,Goals Per Match,Headed Goals,Right Foot Goals,Left Foot Goals,Penalty Goals,Free Kick Goals,Shots,On Target Shots,Shot Accuracy,Hit Woodwork,Big Chances Missed,Wins,Losses,Goal Assists,Total Passes,Passes Per Match,Big Chances Created,Total Cross,Cross Accuracy,Yellow Cards,Red Cards,Fouls,Total Offside,Total Tackles,Tackles Won,Blocked Shots,Interceptions,Total Clearances,Effective Head Clearance,Ball Recovery,Duel Won,Duel Lost,Won Contest,Aerial Won,Aerial Lost,Error Leading To Goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Saido Berahino,West Bromwich Albion,38.0,14.0,0.37,2.0,11.0,1.0,4.0,0.0,86.0,37.0,43.02,3.0,7.0,11.0,16.0,1.0,774.0,20.37,1.0,33.0,-1.0,2.0,0.0,32.0,20.0,31.0,-1.0,17.0,9.0,7.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Aaron Cresswell,West Ham United,38.0,2.0,0.05,0.0,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,12.0,15.0,4.0,1348.0,35.47,9.0,124.0,-1.0,5.0,0.0,17.0,7.0,44.0,70.0,2.0,33.0,148.0,66.0,169.0,145.0,124.0,17.0,54.0,33.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ahmed El Mohamady,Hull City,38.0,2.0,0.05,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,8.0,19.0,5.0,1584.0,41.68,6.0,225.0,-1.0,4.0,0.0,38.0,2.0,68.0,82.0,3.0,65.0,101.0,53.0,235.0,273.0,230.0,32.0,123.0,121.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Christian Eriksen,Tottenham Hotspur,38.0,10.0,0.26,0.0,9.0,1.0,0.0,3.0,97.0,26.0,26.8,4.0,5.0,19.0,12.0,2.0,1977.0,52.03,7.0,179.0,-1.0,4.0,0.0,17.0,0.0,51.0,78.0,39.0,24.0,19.0,12.0,203.0,140.0,196.0,46.0,21.0,28.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Eden Hazard,Chelsea,38.0,14.0,0.37,3.0,6.0,5.0,3.0,0.0,78.0,33.0,42.31,3.0,6.0,26.0,3.0,9.0,2217.0,58.34,12.0,61.0,-1.0,2.0,0.0,12.0,4.0,28.0,-1.0,22.0,23.0,9.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Tom Heaton,Burnley,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,19.0,0.0,1001.0,26.34,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,128.0,2.0,15.0,51.0,24.0,18.0,153.0,307.0
Branislav Ivanovic,Chelsea,38.0,4.0,0.11,0.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,26.0,3.0,5.0,1499.0,39.45,6.0,82.0,-1.0,10.0,1.0,42.0,4.0,88.0,85.0,7.0,38.0,137.0,90.0,149.0,241.0,167.0,29.0,99.0,68.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Steven Nzonzi,Stoke City,38.0,3.0,0.08,0.0,3.0,0.0,0.0,0.0,47.0,11.0,23.4,2.0,1.0,15.0,14.0,1.0,2150.0,56.58,0.0,47.0,-1.0,2.0,0.0,31.0,5.0,72.0,76.0,18.0,30.0,43.0,28.0,254.0,252.0,185.0,47.0,106.0,52.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Graziano Pellè,Southampton,38.0,12.0,0.32,2.0,5.0,5.0,0.0,0.0,123.0,38.0,30.89,7.0,16.0,18.0,14.0,2.0,1220.0,32.11,7.0,18.0,-1.0,6.0,0.0,70.0,25.0,11.0,-1.0,24.0,7.0,41.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Adrián,West Ham United,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,15.0,0.0,1008.0,26.53,-1.0,-1.0,-1.0,3.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,129.0,3.0,15.0,48.0,20.0,26.0,163.0,342.0
