Player Name,Current Club,Appearances,Goals,Goals Per Match,Headed Goals,Right Foot Goals,Left Foot Goals,Penalty Goals,Free Kick Goals,Shots,On Target Shots,Shot Accuracy,Hit Woodwork,Big Chances Missed,Wins,Losses,Goal Assists,Total Passes,Passes Per Match,Big Chances Created,Total Cross,Cross Accuracy,Yellow Cards,Red Cards,Fouls,Total Offside,Total Tackles,Tackles Won,Blocked Shots,Interceptions,Total Clearances,Effective Head Clearance,Ball Recovery,Duel Won,Duel Lost,Won Contest,Aerial Won,Aerial Lost,Error Leading To Goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Trent Alexander-Arnold,Liverpool,38.0,4.0,0.11,0.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,32.0,3.0,13.0,2440.0,64.21,18.0,382.0,-1.0,5.0,0.0,22.0,3.0,55.0,62.0,17.0,45.0,70.0,29.0,221.0,100.0,135.0,21.0,16.0,30.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Joelinton,Newcastle United,38.0,2.0,0.05,0.0,1.0,1.0,0.0,0.0,50.0,15.0,30.0,1.0,8.0,11.0,16.0,2.0,820.0,21.58,3.0,6.0,-1.0,7.0,0.0,32.0,20.0,34.0,-1.0,12.0,11.0,30.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
George Baldock,Sheffield United,38.0,2.0,0.05,0.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,14.0,12.0,3.0,1118.0,29.42,2.0,128.0,-1.0,7.0,0.0,47.0,11.0,62.0,69.0,3.0,34.0,69.0,35.0,167.0,186.0,172.0,42.0,39.0,57.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roberto Firmino,Liverpool,38.0,9.0,0.24,3.0,3.0,3.0,0.0,0.0,99.0,39.0,39.39,4.0,20.0,32.0,3.0,8.0,1161.0,30.55,10.0,9.0,-1.0,0.0,0.0,29.0,6.0,37.0,-1.0,29.0,7.0,11.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Chris Basham,Sheffield United,38.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,14.0,12.0,1.0,1316.0,34.63,2.0,51.0,-1.0,4.0,0.0,26.0,5.0,85.0,56.0,0.0,77.0,167.0,102.0,188.0,247.0,140.0,24.0,109.0,62.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Conor Coady,Wolverhampton Wanderers,38.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,15.0,9.0,0.0,1849.0,48.66,1.0,0.0,-1.0,5.0,0.0,17.0,0.0,36.0,64.0,0.0,28.0,117.0,65.0,244.0,80.0,56.0,4.0,33.0,24.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Rúben Neves,Wolverhampton Wanderers,38.0,2.0,0.05,0.0,2.0,0.0,0.0,0.0,61.0,10.0,16.39,2.0,0.0,15.0,9.0,2.0,2023.0,53.24,3.0,34.0,-1.0,9.0,0.0,29.0,0.0,62.0,53.0,23.0,56.0,31.0,12.0,303.0,128.0,120.0,22.0,29.0,27.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
David de Gea,Manchester United,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,8.0,0.0,786.0,20.68,-1.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,96.0,0.0,9.0,9.0,11.0,3.0,153.0,268.0
Leander Dendoncker,Wolverhampton Wanderers (Loan),38.0,4.0,0.11,1.0,2.0,1.0,0.0,0.0,20.0,5.0,25.0,0.0,1.0,15.0,9.0,0.0,1323.0,34.82,1.0,8.0,-1.0,5.0,0.0,31.0,0.0,68.0,46.0,5.0,38.0,61.0,42.0,152.0,187.0,167.0,16.0,96.0,84.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Rui Patrício,Wolverhampton Wanderers,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,9.0,0.0,734.0,19.32,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,91.0,2.0,5.0,19.0,7.0,3.0,127.0,283.0
