Player Name,Current Club,Appearances,Goals,Goals Per Match,Headed Goals,Right Foot Goals,Left Foot Goals,Penalty Goals,Free Kick Goals,Shots,On Target Shots,Shot Accuracy,Hit Woodwork,Big Chances Missed,Wins,Losses,Goal Assists,Total Passes,Passes Per Match,Big Chances Created,Total Cross,Cross Accuracy,Yellow Cards,Red Cards,Fouls,Total Offside,Total Tackles,Tackles Won,Blocked Shots,Interceptions,Total Clearances,Effective Head Clearance,Ball Recovery,Duel Won,Duel Lost,Won Contest,Aerial Won,Aerial Lost,Error Leading To Goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Leighton Baines,Everton,38.0,5.0,0.13,0.0,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,16.0,7.0,5.0,1663.0,43.76,22.0,353.0,-1.0,4.0,0.0,30.0,1.0,92.0,79.0,13.0,57.0,75.0,22.0,158.0,191.0,132.0,30.0,11.0,17.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Asmir Begovic,Stoke City,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,14.0,0.0,760.0,20.0,-1.0,-1.0,-1.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,110.0,0.0,6.0,86.0,26.0,41.0,105.0,396.0
Santi Cazorla,Arsenal,38.0,12.0,0.32,1.0,4.0,7.0,0.0,0.0,115.0,40.0,34.78,0.0,4.0,21.0,7.0,11.0,2471.0,65.03,15.0,184.0,-1.0,1.0,0.0,16.0,1.0,71.0,77.0,40.0,69.0,11.0,0.0,247.0,214.0,197.0,86.0,7.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Joe Hart,Manchester City,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,6.0,0.0,525.0,13.82,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,78.0,1.0,23.0,26.0,24.0,13.0,210.0,295.0
Jussi Jääskeläinen,West Ham United,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,16.0,0.0,691.0,18.18,-1.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,166.0,0.0,6.0,33.0,25.0,14.0,101.0,382.0
Rickie Lambert,Southampton,38.0,15.0,0.39,4.0,11.0,0.0,3.0,2.0,94.0,42.0,44.68,5.0,7.0,9.0,15.0,5.0,1231.0,32.39,12.0,64.0,-1.0,2.0,0.0,35.0,37.0,15.0,-1.0,15.0,6.0,35.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sebastian Larsson,Sunderland,38.0,1.0,0.03,0.0,0.0,1.0,0.0,0.0,30.0,8.0,26.67,1.0,1.0,9.0,17.0,3.0,1263.0,33.24,3.0,175.0,-1.0,6.0,0.0,52.0,3.0,79.0,80.0,11.0,50.0,47.0,9.0,165.0,121.0,134.0,10.0,16.0,25.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jobi McAnuff,Reading,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,12.0,27.91,1.0,0.0,6.0,22.0,7.0,896.0,23.58,5.0,178.0,-1.0,5.0,0.0,41.0,4.0,62.0,74.0,10.0,49.0,43.0,3.0,143.0,208.0,237.0,47.0,28.0,55.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
James McCarthy,Wigan Athletic,38.0,3.0,0.08,0.0,3.0,0.0,0.0,0.0,37.0,9.0,24.32,0.0,3.0,9.0,20.0,2.0,2190.0,57.63,1.0,19.0,-1.0,7.0,0.0,48.0,1.0,99.0,75.0,16.0,76.0,61.0,12.0,195.0,190.0,152.0,27.0,15.0,21.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Simon Mignolet,Sunderland,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,17.0,0.0,769.0,20.24,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,149.0,0.0,39.0,47.0,18.0,27.0,82.0,356.0
