Player Name,Current Club,Appearances,Goals,Goals Per Match,Headed Goals,Right Foot Goals,Left Foot Goals,Penalty Goals,Free Kick Goals,Shots,On Target Shots,Shot Accuracy,Hit Woodwork,Big Chances Missed,Wins,Losses,Goal Assists,Total Passes,Passes Per Match,Big Chances Created,Total Cross,Cross Accuracy,Yellow Cards,Red Cards,Fouls,Total Offside,Total Tackles,Tackles Won,Blocked Shots,Interceptions,Total Clearances,Effective Head Clearance,Ball Recovery,Duel Won,Duel Lost,Won Contest,Aerial Won,Aerial Lost,Error Leading To Goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Gareth Barry,Aston Villa,38.0,5.0,0.13,0.0,1.0,4.0,4.0,0.0,54.0,23.0,42.59,2.0,0.0,17.0,10.0,7.0,1626.0,42.79,0.0,182.0,-1.0,9.0,0.0,68.0,11.0,120.0,80.0,6.0,84.0,76.0,24.0,243.0,225.0,231.0,24.0,29.0,29.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jamie Carragher,Liverpool,38.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,25.0,2.0,1.0,2025.0,53.29,0.0,22.0,-1.0,4.0,0.0,26.0,0.0,87.0,80.0,2.0,43.0,306.0,97.0,218.0,163.0,74.0,11.0,37.0,24.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Peter Crouch,Portsmouth,38.0,11.0,0.29,7.0,4.0,0.0,0.0,0.0,98.0,36.0,36.73,4.0,0.0,10.0,17.0,5.0,1377.0,36.24,0.0,13.0,-1.0,3.0,0.0,43.0,27.0,24.0,-1.0,14.0,22.0,60.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Kevin Davies,Bolton Wanderers,38.0,12.0,0.32,6.0,6.0,0.0,0.0,0.0,61.0,25.0,40.98,1.0,0.0,11.0,19.0,4.0,1325.0,34.87,0.0,77.0,-1.0,4.0,0.0,117.0,18.0,77.0,-1.0,9.0,24.0,61.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sylvain Distin,Portsmouth,38.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,10.0,17.0,0.0,1230.0,32.37,0.0,9.0,-1.0,2.0,0.0,21.0,0.0,92.0,72.0,0.0,63.0,477.0,153.0,191.0,216.0,93.0,9.0,100.0,41.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Maynor Figueroa,Wigan Athletic (Loan),38.0,1.0,0.03,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,12.0,17.0,2.0,1073.0,28.24,0.0,75.0,-1.0,4.0,0.0,42.0,2.0,106.0,72.0,11.0,71.0,242.0,79.0,239.0,210.0,126.0,18.0,39.0,29.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Brad Friedel,Aston Villa,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,10.0,0.0,615.0,16.18,-1.0,-1.0,-1.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,124.0,0.0,26.0,31.0,38.0,0.0,164.0,345.0
Tim Howard,Everton,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,9.0,0.0,706.0,18.58,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,114.0,0.0,25.0,67.0,29.0,0.0,221.0,365.0
Aaron Hughes,Fulham,38.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,14.0,13.0,0.0,1012.0,26.63,0.0,2.0,-1.0,0.0,0.0,7.0,0.0,36.0,61.0,0.0,72.0,430.0,133.0,107.0,129.0,99.0,1.0,76.0,83.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jussi Jääskeläinen,Bolton Wanderers,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,19.0,1.0,870.0,22.89,-1.0,-1.0,-1.0,3.0,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,148.0,1.0,28.0,38.0,33.0,0.0,64.0,424.0
Dirk Kuijt,Liverpool,38.0,12.0,0.32,3.0,9.0,0.0,0.0,0.0,105.0,38.0,36.19,3.0,0.0,25.0,2.0,8.0,1505.0,39.61,0.0,95.0,-1.0,0.0,0.0,37.0,27.0,64.0,73.0,24.0,56.0,39.0,11.0,174.0,164.0,270.0,25.0,54.0,93.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
James Milner,Newcastle United,38.0,3.0,0.08,0.0,1.0,1.0,0.0,1.0,67.0,17.0,25.37,0.0,0.0,17.0,9.0,8.0,1136.0,29.89,0.0,263.0,-1.0,6.0,0.0,39.0,2.0,103.0,80.0,26.0,60.0,34.0,4.0,180.0,199.0,255.0,30.0,32.0,44.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Fabrice Muamba,Bolton Wanderers,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,15.0,0.0,0.0,11.0,19.0,0.0,781.0,20.55,0.0,23.0,-1.0,5.0,0.0,47.0,0.0,131.0,77.0,7.0,69.0,44.0,9.0,173.0,196.0,173.0,31.0,11.0,27.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Danny Murphy,Fulham,38.0,5.0,0.13,0.0,5.0,0.0,5.0,0.0,42.0,6.0,14.29,3.0,0.0,14.0,13.0,4.0,2154.0,56.68,0.0,42.0,-1.0,8.0,0.0,47.0,0.0,139.0,78.0,21.0,91.0,54.0,15.0,213.0,227.0,210.0,20.0,34.0,39.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pepe Reina,Liverpool,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,2.0,2.0,854.0,22.47,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,83.0,0.0,19.0,51.0,28.0,0.0,264.0,263.0
Jlloyd Samuel,Bolton Wanderers,38.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,11.0,19.0,1.0,1008.0,26.53,0.0,86.0,-1.0,3.0,0.0,36.0,0.0,64.0,77.0,0.0,53.0,181.0,41.0,256.0,163.0,152.0,38.0,27.0,16.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Mark Schwarzer,Fulham,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,13.0,0.0,812.0,21.37,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,138.0,1.0,44.0,65.0,33.0,0.0,211.0,407.0
Michael Turner,Hull City,38.0,4.0,0.11,3.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,8.0,19.0,0.0,853.0,22.45,0.0,4.0,-1.0,3.0,0.0,44.0,3.0,74.0,66.0,3.0,83.0,486.0,166.0,115.0,210.0,116.0,2.0,93.0,52.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Nicolas Anelka,Chelsea,37.0,19.0,0.51,2.0,12.0,4.0,0.0,0.0,111.0,52.0,46.85,4.0,0.0,24.0,5.0,2.0,1001.0,27.05,0.0,58.0,-1.0,0.0,0.0,27.0,32.0,27.0,-1.0,20.0,16.0,12.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Vedran Corluka,Manchester City,37.0,1.0,0.03,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,15.0,14.0,3.0,1664.0,44.97,0.0,45.0,-1.0,3.0,0.0,35.0,0.0,85.0,82.0,6.0,69.0,198.0,69.0,217.0,200.0,128.0,38.0,43.0,28.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Stewart Downing,Middlesbrough,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,20.0,24.39,1.0,0.0,7.0,19.0,3.0,1297.0,35.05,0.0,366.0,-1.0,0.0,0.0,17.0,9.0,49.0,76.0,22.0,42.0,47.0,5.0,237.0,113.0,142.0,30.0,10.0,13.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Shay Given,Newcastle United,37.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,16.0,0.0,856.0,23.14,-1.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,131.0,2.0,27.0,42.0,28.0,0.0,114.0,391.0
Robert Green,West Ham United,37.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,15.0,0.0,713.0,19.27,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,133.0,2.0,37.0,60.0,39.0,0.0,251.0,430.0
