Player Name,Current Club,Appearances,Goals,Goals Per Match,Headed Goals,Right Foot Goals,Left Foot Goals,Penalty Goals,Free Kick Goals,Shots,On Target Shots,Shot Accuracy,Hit Woodwork,Big Chances Missed,Wins,Losses,Goal Assists,Total Passes,Passes Per Match,Big Chances Created,Total Cross,Cross Accuracy,Yellow Cards,Red Cards,Fouls,Total Offside,Total Tackles,Tackles Won,Blocked Shots,Interceptions,Total Clearances,Effective Head Clearance,Ball Recovery,Duel Won,Duel Lost,Won Contest,Aerial Won,Aerial Lost,Error Leading To Goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Nathan Aké,Bournemouth,38.0,2.0,0.05,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,11.0,16.0,3.0,1589.0,41.82,2.0,5.0,-1.0,5.0,0.0,27.0,2.0,53.0,60.0,2.0,48.0,229.0,136.0,178.0,186.0,141.0,10.0,105.0,92.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Asmir Begovic,Bournemouth,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,16.0,0.0,945.0,24.87,-1.0,-1.0,-1.0,2.0,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,111.0,1.0,20.0,31.0,17.0,11.0,215.0,328.0
Jack Cork,Burnley,38.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,15.0,5.0,33.33,0.0,0.0,14.0,12.0,1.0,1584.0,41.68,0.0,19.0,-1.0,7.0,0.0,23.0,1.0,60.0,73.0,5.0,41.0,81.0,38.0,244.0,196.0,198.0,31.0,58.0,78.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Richarlison,Watford,38.0,5.0,0.13,1.0,2.0,2.0,0.0,0.0,95.0,22.0,23.16,2.0,13.0,11.0,19.0,4.0,804.0,21.16,6.0,51.0,-1.0,4.0,0.0,37.0,21.0,64.0,-1.0,26.0,24.0,29.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Lewis Dunk,Brighton & Hove Albion,38.0,1.0,0.03,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,9.0,16.0,1.0,1496.0,39.37,1.0,7.0,-1.0,7.0,0.0,36.0,0.0,67.0,49.0,9.0,71.0,223.0,128.0,252.0,214.0,142.0,10.0,122.0,73.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Lukasz Fabianski,Swansea City,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,21.0,0.0,1113.0,29.29,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,137.0,3.0,15.0,39.0,23.0,10.0,159.0,358.0
Pascal Groß,Brighton & Hove Albion,38.0,7.0,0.18,1.0,5.0,1.0,1.0,0.0,44.0,20.0,45.45,0.0,0.0,9.0,16.0,8.0,1215.0,31.97,16.0,234.0,-1.0,2.0,0.0,33.0,9.0,36.0,67.0,12.0,14.0,19.0,6.0,137.0,79.0,187.0,11.0,13.0,57.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ahmed Hegazy,West Bromwich Albion (Loan),38.0,2.0,0.05,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,6.0,19.0,0.0,1186.0,31.21,0.0,10.0,-1.0,4.0,0.0,24.0,2.0,58.0,66.0,0.0,60.0,270.0,152.0,183.0,192.0,145.0,22.0,103.0,84.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Zanka,Huddersfield Town,38.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,9.0,19.0,2.0,1561.0,41.08,1.0,0.0,-1.0,6.0,0.0,45.0,2.0,55.0,65.0,3.0,76.0,241.0,121.0,166.0,154.0,153.0,3.0,88.0,82.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jonas Lössl,Huddersfield Town (Loan),38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,19.0,1.0,1284.0,33.79,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,103.0,2.0,24.0,26.0,5.0,25.0,103.0,304.0
