Player Name,Current Club,Appearances,Goals,Goals Per Match,Headed Goals,Right Foot Goals,Left Foot Goals,Penalty Goals,Free Kick Goals,Shots,On Target Shots,Shot Accuracy,Hit Woodwork,Big Chances Missed,Wins,Losses,Goal Assists,Total Passes,Passes Per Match,Big Chances Created,Total Cross,Cross Accuracy,Yellow Cards,Red Cards,Fouls,Total Offside,Total Tackles,Tackles Won,Blocked Shots,Interceptions,Total Clearances,Effective Head Clearance,Ball Recovery,Duel Won,Duel Lost,Won Contest,Aerial Won,Aerial Lost,Error Leading To Goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Matty Cash,Aston Villa,38.0,4.0,0.11,1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,13.0,19.0,3.0,1219.0,32.08,3.0,98.0,-1.0,8.0,0.0,38.0,2.0,89.0,56.0,9.0,49.0,82.0,41.0,190.0,202.0,170.0,33.0,42.0,45.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Conor Coady,Wolverhampton Wanderers,38.0,4.0,0.11,3.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,15.0,17.0,0.0,1687.0,44.39,0.0,2.0,-1.0,5.0,0.0,20.0,2.0,31.0,45.0,4.0,28.0,139.0,63.0,162.0,65.0,57.0,1.0,32.0,24.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
David de Gea,Manchester United,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,12.0,0.0,788.0,20.74,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,128.0,2.0,10.0,8.0,5.0,7.0,134.0,299.0
Hugo Lloris,Tottenham Hotspur,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,11.0,0.0,793.0,20.87,-1.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,98.0,0.0,10.0,28.0,1.0,22.0,161.0,278.0
Illan Meslier,Leeds United,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,18.0,0.0,1115.0,29.34,-1.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,143.0,0.0,18.0,20.0,5.0,22.0,274.0,288.0
Bukayo Saka,Arsenal,38.0,11.0,0.29,0.0,1.0,10.0,2.0,0.0,97.0,31.0,31.96,1.0,5.0,22.0,13.0,7.0,1062.0,27.95,8.0,110.0,-1.0,6.0,0.0,39.0,17.0,40.0,-1.0,39.0,22.0,21.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Lukasz Fabianski,West Ham United,37.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,13.0,0.0,849.0,22.95,-1.0,-1.0,-1.0,2.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,114.0,3.0,11.0,25.0,8.0,5.0,164.0,277.0
Pontus Jansson,Brentford,37.0,3.0,0.08,2.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,12.0,18.0,1.0,1489.0,40.24,1.0,1.0,-1.0,7.0,0.0,15.0,5.0,40.0,53.0,5.0,52.0,186.0,98.0,166.0,152.0,112.0,2.0,103.0,81.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Harry Kane,Tottenham Hotspur,37.0,17.0,0.46,4.0,9.0,4.0,4.0,0.0,133.0,55.0,41.35,3.0,18.0,21.0,11.0,9.0,874.0,23.62,19.0,42.0,-1.0,5.0,0.0,42.0,16.0,15.0,-1.0,36.0,3.0,39.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
José Sá,Wolverhampton Wanderers,37.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,17.0,1.0,889.0,24.03,-1.0,-1.0,-1.0,3.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,121.0,0.0,20.0,41.0,2.0,31.0,216.0,261.0
