Player Name,Current Club,Appearances,Goals,Goals Per Match,Headed Goals,Right Foot Goals,Left Foot Goals,Penalty Goals,Free Kick Goals,Shots,On Target Shots,Shot Accuracy,Hit Woodwork,Big Chances Missed,Wins,Losses,Goal Assists,Total Passes,Passes Per Match,Big Chances Created,Total Cross,Cross Accuracy,Yellow Cards,Red Cards,Fouls,Total Offside,Total Tackles,Tackles Won,Blocked Shots,Interceptions,Total Clearances,Effective Head Clearance,Ball Recovery,Duel Won,Duel Lost,Won Contest,Aerial Won,Aerial Lost,Error Leading To Goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Marc Albrighton,Leicester City,38.0,2.0,0.05,0.0,1.0,1.0,0.0,0.0,42.0,11.0,26.19,1.0,2.0,23.0,3.0,6.0,912.0,24.0,11.0,272.0,-1.0,4.0,0.0,21.0,3.0,65.0,83.0,14.0,49.0,19.0,4.0,214.0,154.0,172.0,51.0,11.0,38.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Toby Alderweireld,Tottenham Hotspur,38.0,4.0,0.11,3.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,19.0,6.0,2.0,2076.0,54.63,1.0,16.0,-1.0,3.0,0.0,9.0,1.0,45.0,71.0,8.0,66.0,285.0,125.0,161.0,116.0,74.0,7.0,59.0,39.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ross Barkley,Everton,38.0,8.0,0.21,0.0,7.0,1.0,2.0,0.0,95.0,29.0,30.53,5.0,7.0,11.0,13.0,8.0,1802.0,47.42,11.0,110.0,-1.0,4.0,0.0,29.0,5.0,34.0,65.0,38.0,17.0,18.0,15.0,186.0,250.0,228.0,116.0,29.0,31.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Heurelho Gomes,Watford,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,17.0,0.0,957.0,25.18,-1.0,-1.0,-1.0,4.0,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,121.0,3.0,66.0,62.0,18.0,24.0,178.0,378.0
Craig Dawson,West Bromwich Albion,38.0,4.0,0.11,3.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,10.0,15.0,0.0,1115.0,29.34,3.0,130.0,-1.0,3.0,0.0,28.0,3.0,59.0,69.0,11.0,86.0,162.0,93.0,153.0,212.0,164.0,8.0,119.0,73.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Troy Deeney,Watford,38.0,13.0,0.34,3.0,10.0,0.0,6.0,0.0,94.0,32.0,34.04,1.0,3.0,12.0,17.0,7.0,1290.0,33.95,12.0,26.0,-1.0,6.0,0.0,50.0,18.0,49.0,-1.0,34.0,17.0,48.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Darren Fletcher,West Bromwich Albion,38.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,22.0,4.0,18.18,0.0,2.0,10.0,15.0,3.0,1480.0,38.95,3.0,45.0,-1.0,3.0,0.0,18.0,0.0,52.0,71.0,11.0,51.0,36.0,13.0,269.0,145.0,169.0,29.0,36.0,38.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Simon Francis,Bournemouth,38.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,11.0,18.0,4.0,2106.0,55.42,1.0,100.0,-1.0,5.0,1.0,35.0,2.0,105.0,73.0,3.0,88.0,206.0,118.0,231.0,254.0,163.0,30.0,108.0,62.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Olivier Giroud,Arsenal,38.0,16.0,0.42,7.0,1.0,8.0,1.0,0.0,101.0,43.0,42.57,3.0,13.0,20.0,7.0,6.0,839.0,22.08,9.0,25.0,-1.0,2.0,0.0,40.0,26.0,34.0,-1.0,21.0,10.0,26.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Harry Kane,Tottenham Hotspur,38.0,25.0,0.66,1.0,19.0,5.0,5.0,0.0,158.0,75.0,47.47,7.0,18.0,19.0,6.0,1.0,962.0,25.32,4.0,44.0,-1.0,5.0,0.0,42.0,30.0,29.0,-1.0,34.0,21.0,31.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
