Player Name,Current Club,Appearances,Goals,Goals Per Match,Headed Goals,Right Foot Goals,Left Foot Goals,Penalty Goals,Free Kick Goals,Shots,On Target Shots,Shot Accuracy,Hit Woodwork,Big Chances Missed,Wins,Losses,Goal Assists,Total Passes,Passes Per Match,Big Chances Created,Total Cross,Cross Accuracy,Yellow Cards,Red Cards,Fouls,Total Offside,Total Tackles,Tackles Won,Blocked Shots,Interceptions,Total Clearances,Effective Head Clearance,Ball Recovery,Duel Won,Duel Lost,Won Contest,Aerial Won,Aerial Lost,Error Leading To Goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Nathan Aké,Bournemouth,38.0,4.0,0.11,3.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,13.0,19.0,0.0,1696.0,44.63,2.0,6.0,-1.0,3.0,0.0,28.0,2.0,66.0,53.0,7.0,32.0,230.0,127.0,182.0,176.0,114.0,3.0,88.0,73.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
César Azpilicueta,Chelsea,38.0,1.0,0.03,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,21.0,8.0,5.0,2483.0,65.34,5.0,118.0,-1.0,4.0,0.0,39.0,2.0,105.0,57.0,5.0,43.0,75.0,43.0,201.0,199.0,137.0,10.0,69.0,50.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Alisson Becker,Liverpool,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,1.0,0.0,1076.0,28.32,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,76.0,0.0,17.0,12.0,6.0,17.0,212.0,216.0
Conor Coady,Wolverhampton Wanderers,38.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,16.0,13.0,0.0,1688.0,44.42,1.0,0.0,-1.0,5.0,0.0,10.0,0.0,31.0,61.0,0.0,30.0,127.0,60.0,251.0,75.0,52.0,3.0,34.0,23.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
David de Gea,Manchester United,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,10.0,0.0,948.0,24.95,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,122.0,0.0,12.0,8.0,12.0,5.0,153.0,332.0
Matt Doherty,Wolverhampton Wanderers,38.0,4.0,0.11,2.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,16.0,13.0,5.0,1399.0,36.82,9.0,62.0,-1.0,5.0,0.0,30.0,3.0,67.0,63.0,7.0,60.0,84.0,63.0,166.0,253.0,206.0,20.0,145.0,103.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Martin Dúbravka,Newcastle United,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,17.0,0.0,1033.0,27.18,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,95.0,0.0,15.0,42.0,6.0,16.0,140.0,323.0
Bruno Ecuele Manga,Cardiff City,38.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,10.0,24.0,1.0,957.0,25.18,0.0,20.0,-1.0,0.0,0.0,15.0,1.0,69.0,52.0,4.0,81.0,171.0,89.0,268.0,177.0,121.0,10.0,87.0,62.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Neil Etheridge,Cardiff City,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,24.0,0.0,1144.0,30.11,-1.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,141.0,3.0,11.0,12.0,6.0,19.0,51.0,319.0
Lukasz Fabianski,West Ham United,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,16.0,0.0,1071.0,28.18,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,148.0,1.0,17.0,26.0,9.0,6.0,155.0,309.0
Ben Foster,Watford,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,16.0,0.0,1151.0,30.29,-1.0,-1.0,-1.0,1.0,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,127.0,1.0,10.0,25.0,8.0,32.0,98.0,308.0
