Player Name,Current Club,Appearances,Goals,Goals Per Match,Headed Goals,Right Foot Goals,Left Foot Goals,Penalty Goals,Free Kick Goals,Shots,On Target Shots,Shot Accuracy,Hit Woodwork,Big Chances Missed,Wins,Losses,Goal Assists,Total Passes,Passes Per Match,Big Chances Created,Total Cross,Cross Accuracy,Yellow Cards,Red Cards,Fouls,Total Offside,Total Tackles,Tackles Won,Blocked Shots,Interceptions,Total Clearances,Effective Head Clearance,Ball Recovery,Duel Won,Duel Lost,Won Contest,Aerial Won,Aerial Lost,Error Leading To Goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
César Azpilicueta,Chelsea,38.0,1.0,0.03,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,30.0,5.0,4.0,2459.0,64.71,1.0,41.0,-1.0,4.0,0.0,27.0,2.0,84.0,75.0,2.0,71.0,119.0,79.0,206.0,199.0,142.0,12.0,81.0,69.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Steve Cook,Bournemouth,38.0,2.0,0.05,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,12.0,16.0,0.0,1714.0,45.11,1.0,13.0,-1.0,5.0,0.0,16.0,0.0,45.0,67.0,6.0,77.0,351.0,222.0,229.0,221.0,112.0,18.0,145.0,73.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Heurelho Gomes,Watford,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,20.0,0.0,1034.0,27.21,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,115.0,1.0,34.0,49.0,10.0,30.0,169.0,310.0
Darren Fletcher,West Bromwich Albion,38.0,2.0,0.05,0.0,1.0,1.0,0.0,0.0,20.0,7.0,35.0,1.0,1.0,12.0,17.0,3.0,1222.0,32.16,3.0,30.0,-1.0,0.0,0.0,22.0,1.0,42.0,62.0,6.0,44.0,35.0,15.0,207.0,108.0,135.0,27.0,17.0,37.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Fraser Forster,Southampton,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,16.0,0.0,859.0,22.61,-1.0,-1.0,-1.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,76.0,1.0,12.0,20.0,14.0,2.0,108.0,311.0
Ben Foster,West Bromwich Albion,38.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,17.0,0.0,1119.0,29.45,-1.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,116.0,0.0,8.0,48.0,14.0,28.0,63.0,325.0
Ben Gibson,Middlesbrough,38.0,1.0,0.03,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,5.0,20.0,1.0,1682.0,44.26,1.0,0.0,-1.0,4.0,0.0,19.0,1.0,31.0,71.0,4.0,57.0,234.0,117.0,135.0,122.0,100.0,17.0,61.0,67.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Salomón Rondón,West Bromwich Albion,38.0,8.0,0.21,5.0,3.0,0.0,0.0,0.0,95.0,26.0,27.37,2.0,8.0,12.0,17.0,2.0,723.0,19.03,4.0,9.0,-1.0,2.0,0.0,41.0,29.0,17.0,-1.0,29.0,7.0,41.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Alexis Sánchez,Arsenal,38.0,24.0,0.63,3.0,17.0,3.0,2.0,2.0,129.0,49.0,37.98,5.0,8.0,23.0,9.0,10.0,1643.0,43.24,10.0,66.0,-1.0,6.0,0.0,49.0,27.0,53.0,-1.0,43.0,24.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Gylfi Sigurdsson,Swansea City,38.0,9.0,0.24,0.0,5.0,4.0,3.0,2.0,116.0,50.0,43.1,3.0,2.0,12.0,21.0,13.0,1041.0,27.39,16.0,303.0,-1.0,2.0,0.0,18.0,1.0,45.0,62.0,30.0,35.0,23.0,4.0,122.0,117.0,142.0,32.0,7.0,17.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Joel Ward,Crystal Palace,38.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,12.0,21.0,1.0,1298.0,34.16,2.0,78.0,-1.0,7.0,0.0,37.0,0.0,89.0,76.0,6.0,59.0,134.0,74.0,194.0,222.0,146.0,20.0,62.0,43.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Dele Alli,Tottenham Hotspur,37.0,18.0,0.49,4.0,9.0,5.0,1.0,0.0,94.0,44.0,46.81,3.0,11.0,26.0,4.0,7.0,1330.0,35.95,5.0,22.0,-1.0,4.0,0.0,50.0,11.0,52.0,69.0,20.0,11.0,17.0,11.0,165.0,190.0,273.0,49.0,14.0,26.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Gary Cahill,Chelsea,37.0,6.0,0.16,3.0,3.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,29.0,5.0,0.0,1849.0,49.97,0.0,1.0,-1.0,5.0,0.0,34.0,2.0,53.0,75.0,4.0,46.0,167.0,107.0,136.0,168.0,103.0,4.0,91.0,56.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Étienne Capoue,Watford,37.0,7.0,0.19,1.0,3.0,3.0,0.0,0.0,50.0,19.0,38.0,0.0,3.0,11.0,19.0,1.0,1483.0,40.08,0.0,78.0,-1.0,5.0,0.0,51.0,1.0,61.0,69.0,10.0,59.0,25.0,9.0,178.0,173.0,196.0,34.0,33.0,35.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sam Clucas,Hull City,37.0,3.0,0.08,0.0,0.0,3.0,0.0,0.0,42.0,7.0,16.67,0.0,1.0,9.0,22.0,1.0,1542.0,41.68,2.0,62.0,-1.0,9.0,1.0,22.0,1.0,91.0,66.0,17.0,52.0,67.0,24.0,192.0,182.0,161.0,28.0,39.0,39.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
